id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,0.03,0.06,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020,0.85,0.04,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2010,0.05,0.07,0.18
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020,0.91,0.03,0.07
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2020,0.02,0.08,0.10
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,48,2010,0.93,0.03,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,0.72,0.05,0.32
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2010,0.45,0.06,0.09
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,0.88,0.04,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2010,0.08,0.06,0.14
11,Golden Era Memories,Verse & Flow,hip-hop,nostalgic,0.66,94,0.58,0.74,0.20,74,1990,0.04,0.28,0.13
12,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,58,0.62,0.23,0.97,45,2000,0.96,0.03,0.11
13,Close To You,Velvet Reed,r&b,romantic,0.55,85,0.76,0.72,0.38,70,2010,0.06,0.09,0.12
14,Dirt Road Anthem,Hayfield Jones,country,happy,0.61,96,0.84,0.67,0.72,60,2010,0.04,0.07,0.22
15,Salsa Fuego,Ritmo Libre,latin,energetic,0.89,142,0.91,0.93,0.09,76,2020,0.03,0.07,0.25
16,Iron Collapse,Ashfall,metal,angry,0.97,168,0.25,0.44,0.04,63,2010,0.09,0.07,0.20
17,Faded Photographs,Birch & Wire,folk,melancholic,0.31,68,0.31,0.38,0.94,49,2000,0.28,0.06,0.38
18,Drop Zone,Pulse Circuit,electronic,euphoric,0.95,138,0.88,0.92,0.03,82,2020,0.55,0.06,0.08
19,Rainy Day Blues,Delta Mae,blues,sad,0.34,70,0.26,0.45,0.82,44,1990,0.14,0.06,0.41
20,Island Ease,Coral Roots,reggae,relaxed,0.52,88,0.78,0.76,0.55,57,2000,0.18,0.09,0.19
